,id,company_id,experience_level,last_published_at,closed_at
5536,4253,1967,3.0,2017-10-10 10:36:13.342 UTC,2018-04-09 15:16:33.632 UTC
5537,4509,1967,4.0,2017-12-05 19:10:03.49 UTC,2018-04-05 02:00:14.322 UTC
5538,4521,1967,4.0,2017-12-05 19:01:39.257 UTC,2018-04-09 15:22:25.488 UTC
5539,4072,1967,3.0,2017-09-22 10:39:51.187 UTC,2018-04-09 14:14:36.012 UTC
5540,4076,1967,3.0,2017-08-29 16:38:45.743 UTC,2018-03-30 02:00:21.565 UTC
5541,4090,1967,3.0,2017-08-30 17:19:19.732 UTC,2018-04-09 13:53:59.26 UTC
5542,4287,454,3.0,2017-10-30 09:48:00.921 UTC,2018-09-07 02:00:14.076 UTC
5543,5586,3,3.0,,
5544,5591,3,2.0,,
5545,5593,3,2.0,,
5546,5287,1967,2.0,2018-04-16 11:13:08.552 UTC,2018-07-09 13:49:14.154 UTC
5547,6706,1967,2.0,2018-10-24 15:39:48.956 UTC,2018-11-12 15:08:50.005 UTC
5548,6028,2678,2.0,2018-08-08 01:20:04.435 UTC,2018-10-30 11:23:20.201 UTC
5549,6029,2680,3.0,,
5550,5851,596,1.0,2018-07-12 13:42:21.734 UTC,2018-08-17 13:23:51.764 UTC
5551,6164,868,1.0,2018-10-08 15:44:41.56 UTC,2018-11-16 07:02:17.398 UTC
5552,6560,2775,2.0,2018-10-03 18:24:29.28 UTC,2019-02-01 02:00:44.58 UTC
5553,4789,429,4.0,2018-02-12 20:09:22.983 UTC,2018-04-09 10:55:48.093 UTC
5554,4792,429,3.0,2018-02-12 21:13:03.36 UTC,2018-06-11 08:17:54.101 UTC
5555,4787,429,2.0,2018-02-12 18:41:26.348 UTC,2018-08-31 02:00:17.799 UTC
5556,4791,429,3.0,2018-02-12 20:39:47.046 UTC,2018-08-31 02:00:18.042 UTC
5557,4790,429,3.0,2018-02-13 09:42:42.611 UTC,2018-07-05 15:13:57.841 UTC
5558,7523,873,3.0,,
5559,7529,873,3.0,2019-01-22 18:05:46.846 UTC,2019-01-25 09:31:29.902 UTC
5560,6250,2732,3.0,,
5561,6251,2732,2.0,2018-09-04 10:56:24.486 UTC,2018-09-10 07:41:41.062 UTC
5562,6670,1651,2.0,,
5563,7488,2947,1.0,,
5564,7080,388,2.0,2018-11-27 12:47:43.611 UTC,2019-02-04 14:43:44.271 UTC
5565,7102,1829,2.0,2018-11-30 10:47:39.817 UTC,
5566,5826,2528,2.0,2018-07-06 12:24:43.495 UTC,2018-09-14 07:12:13.913 UTC
5567,5239,1643,2.0,2018-07-12 09:42:42.154 UTC,2018-08-09 08:38:57.066 UTC
5568,5496,1643,1.0,2018-07-12 09:42:50.045 UTC,2018-08-09 08:39:16.837 UTC
5569,5240,1643,2.0,2018-07-12 09:42:58.426 UTC,2018-10-11 02:00:24.659 UTC
5570,5238,1643,2.0,2018-04-12 14:52:52.873 UTC,2018-09-21 02:00:32.52 UTC
5571,5277,1643,2.0,2018-04-11 16:42:39.461 UTC,2018-10-11 02:00:23.604 UTC
5572,5234,1643,1.0,2018-04-11 09:37:18.029 UTC,2018-11-29 02:00:26.461 UTC
5573,5426,1643,1.0,2018-05-08 13:54:41.188 UTC,2018-11-29 02:00:25.889 UTC
5574,6012,2677,3.0,,
5575,4855,596,1.0,2018-02-19 10:36:32.34 UTC,2018-05-31 07:37:20.81 UTC
5576,4856,596,1.0,2018-02-19 11:13:21.763 UTC,2018-06-05 09:34:43.226 UTC
5577,5568,1294,2.0,2018-06-08 10:32:18.197 UTC,2019-01-23 08:42:49.382 UTC
5578,5572,1294,3.0,2018-06-08 12:55:44.51 UTC,2019-02-04 15:36:13.746 UTC
5579,5570,1294,1.0,2018-06-08 18:50:27.549 UTC,2018-07-23 08:54:51.372 UTC
5580,5565,1294,2.0,2018-06-08 08:55:56.307 UTC,2018-08-20 09:53:45.639 UTC
5581,5566,1294,4.0,2018-06-08 12:45:03.436 UTC,2018-10-25 16:53:38.277 UTC
5582,5574,1294,2.0,2018-06-11 13:47:11.953 UTC,2018-10-15 15:18:55.217 UTC
5583,5564,1294,2.0,2018-06-08 09:59:40.742 UTC,2018-10-25 16:51:31.122 UTC
5584,5567,1294,2.0,2018-06-08 10:16:45.414 UTC,2018-10-25 16:52:15.8 UTC
